# >>> KLIBS INFO
# KLIBs Commit: b45b33a40147b5df56f58eddf022fca44eebf2c9
# random_seed: 1463065643.01
#
# >>> EYELINK SETTINGS
# Saccadic Velocity Threshold: 20
# Saccadic Acceleration Threshold: 5000
# Saccadic Motion Threshold: 0.15
#
# >>> EXPERIMENT SETTINGS
# Trials Per Block: 240
# Blocks Per Experiment: 2

participant	sex	age	handedness	block_num	trial_num	trial_type	toj_judgement_type	probe_initial_bias	block_bias	rotation	probe_loc	probe_color	probe_angle	probe_judgement	probe_judgement_color	p_minus_j	probe_rt	t1_loc	t1_type	toj_judgement	toj_rt	soa
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	1	TARGET	first	LEFT	LEFT	129	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	8.11354017258	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	2	TARGET	first	LEFT	LEFT	321	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	2.81167602539	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	3	TARGET	first	LEFT	LEFT	0	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	2.5794479847	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	4	TARGET	first	LEFT	LEFT	77	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	3.11785101891	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	5	TARGET	first	LEFT	LEFT	58	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	2.96857190132	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	6	TARGET	first	LEFT	LEFT	157	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	VERTICAL	4.54244995117	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	7	TARGET	first	LEFT	LEFT	17	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	3.69381594658	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	8	TARGET	first	LEFT	LEFT	72	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	4.41879701614	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	9	TARGET	first	LEFT	LEFT	69	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	3.96184778214	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	10	TARGET	first	LEFT	LEFT	26	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	VERTICAL	2.86656713486	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	11	TARGET	first	LEFT	LEFT	267	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	VERTICAL	2.94786906242	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	12	TARGET	first	LEFT	LEFT	308	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	2.5699338913	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	13	TARGET	first	LEFT	LEFT	13	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	3.2964360714	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	14	TARGET	first	LEFT	LEFT	348	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	2.99892902374	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	15	TARGET	first	LEFT	LEFT	200	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	3.38480901718	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	16	TARGET	first	LEFT	LEFT	344	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	2.99700903893	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	17	TARGET	first	LEFT	LEFT	343	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	4.21481204033	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	18	TARGET	first	LEFT	LEFT	354	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	HORIZONTAL	3.18550801277	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	19	TARGET	first	LEFT	LEFT	282	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	2.64784193039	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	20	TARGET	first	LEFT	LEFT	247	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	4.34517908096	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	21	TARGET	first	LEFT	LEFT	207	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	2.53559803963	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	22	TARGET	first	LEFT	LEFT	176	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	HORIZONTAL	3.93904709816	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	23	TARGET	first	LEFT	LEFT	7	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	VERTICAL	3.23634314537	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	24	TARGET	first	LEFT	LEFT	281	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	VERTICAL	4.74520516396	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	25	TARGET	first	LEFT	LEFT	139	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	2.8293941021	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	26	TARGET	first	LEFT	LEFT	263	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	3.98009204865	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	27	TARGET	first	LEFT	LEFT	248	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	3.16709184647	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	28	TARGET	first	LEFT	LEFT	233	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	HORIZONTAL	3.03180193901	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	29	TARGET	first	LEFT	LEFT	8	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	VERTICAL	2.99928689003	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	30	TARGET	first	LEFT	LEFT	118	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	6.44908308983	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	31	TARGET	first	LEFT	LEFT	265	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	5.04115581512	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	32	TARGET	first	LEFT	LEFT	321	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	2.59487009048	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	33	TARGET	first	LEFT	LEFT	60	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	3.26207304001	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	34	TARGET	first	LEFT	LEFT	190	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	2.84499907494	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	35	TARGET	first	LEFT	LEFT	335	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	3.59119606018	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	36	TARGET	first	LEFT	LEFT	86	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	3.41897511482	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	37	TARGET	first	LEFT	LEFT	315	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	2.58299207687	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	38	TARGET	first	LEFT	LEFT	340	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	3.00711798668	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	39	TARGET	first	LEFT	LEFT	155	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	3.56917285919	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	1	40	TARGET	first	LEFT	LEFT	23	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	2.4919500351	45
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	2	1	PROBE	first	LEFT	LEFT	227	RIGHT	(174, 105, 0, 255)	50	36.8021223666	(187, 95, 0, 255)	13.1978776334	5.86772489548	RIGHT	VERTICAL	NO_RESPONSE	-1	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	2	2	PROBE	first	LEFT	LEFT	295	LEFT	(156, 114, 0, 255)	65	57.5111007984	(166, 109, 0, 255)	7.48889920164	4.63369512558	LEFT	HORIZONTAL	NO_RESPONSE	-1	15
bf6a24cfafbce922a2074c37d79b9a3971d3f997	f	32	l	2	3	PROBE	first	LEFT	LEFT	157	LEFT	(54, 138, 0, 255)	114	121.343891584	(0, 141, 0, 255)	-7.34389158403	4.83852410316	RIGHT	VERTICAL	NO_RESPONSE	-1	45
