# >>> KLIBS INFO
# KLIBs Commit: 3e186637b4c04206bcf259b09ebfa00d0e0957a6
# random_seed: 1462304258.09
#
# >>> EYELINK SETTINGS
# Saccadic Velocity Threshold: 20
# Saccadic Acceleration Threshold: 5000
# Saccadic Motion Threshold: 0.15
#
# >>> EXPERIMENT SETTINGS
# Trials Per Block: 240
# Blocks Per Experiment: 2

participant	sex	age	handedness	block_num	trial_num	trial_type	rotation	probe_loc	probe_color	probe_angle	probe_judgement	probe_judgement_color	probe_rt	t1_loc	t1_type	toj_judgement	toj_rt	soa
demo_user_2016-04-29 11:48:46	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:12:32	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:12:32	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:12:50	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:12:50	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:13:23	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:13:23	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:14:26	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:14:26	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:15:07	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:15:07	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:16:44	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:16:44	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:19:51	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:19:51	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:24:42	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:24:42	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:25:05	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:25:05	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 12:25:21	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 12:25:21	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:01:11	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:01:11	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:10:36	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:10:36	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:10:59	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:10:59	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:11:57	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:11:57	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:13:08	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:13:08	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:14:32	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:14:32	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:20:18	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:20:18	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:20:41	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:20:41	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:21:53	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:21:53	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:22:23	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:22:23	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:24:46	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:24:46	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:29:04	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:29:04	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:29:53	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:29:53	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:30:39	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:30:39	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:34:14	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:34:14	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:34:52	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:34:52	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:36:28	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:36:28	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:38:20	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:38:20	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
demo_user_2016-04-29 13:38:54	f	-1	r	1	1	TARGET	108	NA	NA	-1	-1	NA	-1	LEFT	VERTICAL	VERTICAL	3.34394598007	15
demo_user_2016-04-29 13:38:54	f	-1	r	1	2	TARGET	68	NA	NA	-1	-1	NA	-1	RIGHT	VERTICAL	VERTICAL	4.30505490303	45
